,Gender,Age,hours_studied,economic_stutus,mothers_education,fathers_education,result
319,0,19,3.0,2,3,3,3.75
322,1,19,4.0,1,2,0,4.0
324,1,22,3.0,2,3,3,4.0
325,1,19,4.5,1,0,0,3.5
326,1,22,2.5,1,2,3,3.0
327,1,22,4.0,3,0,3,3.5
328,1,19,2.5,2,2,3,0.0
329,1,22,4.0,1,1,1,3.75
330,1,22,4.0,1,2,1,3.75
331,1,19,4.0,1,2,2,4.0
332,1,19,3.0,1,2,3,4.0
333,1,22,3.0,1,2,3,3.75
334,0,22,4.5,2,2,2,3.75
335,1,22,3.0,2,3,3,3.5
336,1,22,3.0,0,2,2,3.75
337,1,22,4.5,1,2,3,3.5
338,1,19,2.5,2,3,3,3.75
340,1,22,2.5,1,3,3,4.0
341,0,22,4.0,2,2,3,3.25
342,1,22,4.0,1,2,3,2.75
343,0,22,4.0,2,3,2,3.75
344,0,28,3.5,1,1,1,3.75
345,1,22,3.0,2,3,3,4.0
346,1,22,3.0,0,2,2,3.75
347,1,22,4.0,2,2,2,4.0
349,1,22,3.5,2,3,3,3.5
350,1,22,2.5,1,2,0,3.75
351,0,22,3.0,2,1,1,3.75
352,0,19,4.5,1,2,2,3.75
353,1,22,3.0,1,1,1,3.0
355,0,22,2.5,0,2,2,3.75
356,1,22,4.0,2,0,1,3.0
357,0,22,3.0,1,2,2,3.75
358,0,22,4.5,1,2,3,3.75
359,0,22,4.5,1,0,0,3.75
360,1,22,3.0,2,1,3,3.5
361,0,22,4.5,2,0,0,4.0
362,1,22,4.0,1,0,1,3.75
363,1,19,4.5,2,1,1,3.75
364,0,22,4.5,1,0,2,3.75
365,1,22,3.0,2,0,0,3.0
366,1,22,4.0,2,0,0,3.0
367,0,19,4.0,2,2,2,4.0
368,1,22,3.5,2,1,2,3.5
369,1,19,3.5,0,0,0,3.75
370,1,22,3.0,1,0,1,3.5
371,0,19,3.0,2,3,3,4.0
372,0,19,3.0,2,2,2,3.75
373,1,19,3.0,1,0,3,3.5
374,1,22,3.5,2,2,3,3.5
375,1,22,3.0,1,0,0,3.5
376,1,22,4.0,0,1,1,4.0
378,1,25,4.0,1,1,1,3.75
379,1,25,3.0,1,2,1,3.75
380,0,22,3.5,2,1,2,3.75
381,0,22,2.5,0,0,1,4.0
382,1,22,4.0,2,1,2,3.5
383,0,22,3.0,2,2,3,3.5
384,1,22,3.0,1,0,0,3.0
385,1,22,3.0,2,2,3,3.5
387,1,30,2.5,3,3,3,4.0
388,1,22,2.0,1,2,2,3.25
389,1,19,3.0,1,2,3,3.75
390,1,19,4.0,2,3,2,3.75
391,0,19,4.0,0,3,0,3.75
392,1,19,3.0,2,1,1,3.75
393,1,22,5.0,1,1,0,3.75
394,0,19,3.0,1,2,2,4.0
396,1,22,3.5,1,1,3,3.75
397,1,22,2.5,1,0,2,3.0
398,1,25,2.5,1,2,2,2.75
399,0,22,4.5,1,2,2,4.0
400,1,22,4.5,1,3,3,3.75
401,0,19,4.0,2,1,1,3.75
402,1,22,3.0,2,1,2,2.75
404,1,22,3.5,2,2,2,2.5
405,1,22,3.5,1,2,2,2.5
406,1,22,3.0,2,2,3,3.0
407,1,22,3.5,0,2,1,2.75
408,1,22,3.0,2,1,2,3.0
409,1,25,3.5,2,2,3,3.25
410,0,19,3.0,1,1,2,2.75
411,1,25,4.5,2,2,2,3.5
412,1,22,4.5,2,1,2,3.25
414,1,22,3.0,0,2,1,3.0
415,1,22,3.0,2,2,2,2.75
416,1,22,3.5,2,1,2,2.5
418,0,22,3.0,2,1,1,3.75
419,0,22,3.0,2,2,2,2.0
420,0,22,4.0,2,2,2,2.5
421,1,22,3.5,2,0,0,3.75
423,1,19,4.0,2,2,3,3.75
424,1,19,3.0,1,2,3,4.0
426,0,22,3.5,1,1,3,3.5
427,1,22,4.0,0,0,0,4.0
429,1,22,3.5,0,3,3,3.75
430,0,19,3.0,1,2,3,3.75
431,0,22,4.0,2,2,2,3.75
432,1,22,4.0,1,1,2,3.5
434,1,22,4.0,1,2,1,3.75
435,1,22,3.0,2,3,3,3.5
436,0,22,4.0,2,3,3,3.75
437,1,19,4.5,1,3,3,3.75
438,0,22,3.0,0,3,2,3.75
439,1,22,2.5,1,1,2,3.25
440,1,22,3.0,0,3,3,3.5
441,1,19,2.5,1,1,3,0.0
442,0,22,3.0,1,2,3,3.0
443,1,22,3.0,0,2,2,4.0
444,1,22,3.0,1,2,3,2.0
445,1,22,3.0,2,3,2,3.5
446,1,22,2.5,1,1,1,3.75
447,1,22,3.0,1,1,1,3.75
448,1,22,3.0,2,3,3,3.75
449,1,19,4.0,1,3,3,3.5
450,1,22,4.0,2,1,2,3.0
451,1,22,3.0,1,1,1,3.75
452,1,22,3.0,0,0,0,3.75
453,1,22,4.0,1,3,3,3.5
455,1,22,3.0,1,2,3,3.5
457,1,22,3.5,1,2,3,3.75
458,0,19,4.0,1,3,3,3.75
460,1,22,3.0,0,3,3,3.75
461,0,19,4.5,2,2,2,4.0
463,1,22,4.0,2,1,1,3.5
464,1,19,4.0,1,2,1,3.75
466,1,22,3.0,1,2,3,3.0
467,1,22,2.5,1,1,1,3.5
468,0,22,3.0,2,2,1,3.75
469,0,22,4.0,2,2,2,3.75
470,1,22,4.0,2,3,3,3.75
471,1,19,4.0,1,2,3,3.5
472,1,22,3.0,2,3,3,3.5
473,1,22,3.5,2,3,3,3.25
475,0,19,3.0,2,1,2,3.5
476,1,22,4.0,2,2,3,3.75
477,0,19,3.0,3,3,3,4.0
478,1,22,3.0,1,1,1,3.25
479,1,19,3.0,0,0,0,3.5
480,1,19,4.0,0,3,3,4.0
481,0,19,4.0,2,2,3,4.0
483,1,19,4.0,1,1,1,4.0
484,1,22,3.0,1,0,0,3.25
485,1,19,3.5,2,2,2,4.0
